项目,文件名,日期,原文件名,大小,描述,置信度,时长秒,分辨率,帧率,有无音轨,重复于,可用起点秒,可用终点秒,功能位,画质等级,画面元素,镜头特征,工序阶段,脱敏风险,缩略图路径,标注执行者,标注日期,复核状态
化工群,化工_现场施工_260626_003.jpg,260626,155a12da46964d47d3f0ec0dbb07e54e.jpg,498667,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260614_004.jpg,260614,155b6b12d495bf432565d0ba288915da.jpg,417943,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260614_005.jpg,260614,161a6d9621b0ab9ca36b97396614ad93.jpg,1127414,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260624_003.jpg,260624,163ca38f4a11f96a9c3fa7727afd6541.jpg,400116,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_氯化铵_260803_001.jpg,260803,16441328a21c92dd1ecfb6044a29d1b5.jpg,537924,氯化铵,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260611_003.jpg,260611,166dde881cab4b8d2e8a65278c579808.jpg,468637,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_氯化铵4-6号污水池、应急污水池盖板验收_260818_001.jpg,260818,1678d8a64793295b3b6775b0a758a610.jpg,394528,氯化铵4-6号污水池、应急污水池盖板验收,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260804_001.jpg,260804,16f135839348affd90fa7821eed6141d.jpg,577935,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260614_006.jpg,260614,176bdf87adb00e22f3c20aa7e1c04ac8.jpg,432280,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260612_004.jpg,260612,176d5427e4ecd59ff0e5eaba4118a3c6.jpg,551920,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260612_005.jpg,260612,177a4f526cbfbf961f29b0d99817f853.jpg,1215419,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260621_003.jpg,260621,178934d3387dc34e719f679f8a9a5c11.jpg,403361,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260618_002.jpg,260618,17b51820bbec7c0a4c43b61c0eab1043.jpg,422882,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260717_008.jpg,260717,18b3bc4340571e0713aff73449ab4d69.jpg,713677,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260703_001.jpg,260703,1926dbadc5e91eda2e877560ec97f7b3.jpg,351720,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260529_001.jpg,260529,193f15875c09ac38cac9bfa3a5af5193.jpg,552460,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260604_001.jpg,260604,19ed1302653c4641ee6339b81fbb77b6.jpg,3239106,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_纯碱3号池子_260626_002.jpg,260626,1a13e91bee6f691a01e0b85fbf597be3.jpg,458928,纯碱3号池子,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260705_003.jpg,260705,1a7394308933c156f0b2502724a34ff4.jpg,269514,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260717_009.jpg,260717,1aab476b731e143917d380513bed4e69.jpg,583858,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260530_003.jpg,260530,1b24ac3fb4008119a9ee1d1f8d2de75c.jpg,745888,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260723_002.jpg,260723,1b2b33960fffcdb29ac2b9f57615023f.jpg,291611,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_氯化铵13 14#污水池_260730_001.jpg,260730,1b5464a90d2ff9dfdb54ec3a3da867b2.jpg,516739,氯化铵13 14#污水池,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_纯碱6号_260628_002.jpg,260628,1b58a4b90b58395258b3efae684f0a3d.jpg,227719,纯碱6号,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260704_001.jpg,260704,1b596e32e6ceb9cf0429d2c6d816ee83.jpg,453303,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260618_003.jpg,260618,1b704d00d2a5b9586cf96893b1ddc794.jpg,349331,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260703_002.jpg,260703,1b80a2549a962a435b01c862fd1d895c.jpg,390590,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260706_002.jpg,260706,1baa44e47e1e0500c7be4d37340198fb.jpg,549369,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_1#2#氮氨泵_260728_001.jpg,260728,1bf059f3cce80c982785f1ae9e701a3d.jpg,362633,1#2#氮氨泵,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_纯碱6#_260715_001.jpg,260715,1c3e961e8b3b87e0ce7100ba90123dbe.jpg,350068,纯碱6#,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_纯碱3#_260715_001.jpg,260715,1cdc3203e34cd497c0ddee24255a1e60.jpg,591837,纯碱3#,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260615_001.jpg,260615,1d0203c0cf60182ae956dff8d5cb7679.jpg,480999,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260620_002.jpg,260620,1dcfd0f1c20fa8842e0dbb5c9b0a30f1.jpg,453781,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260613_007.jpg,260613,1df2150be29a42ec8f18ab4e9056f8bf.jpg,394553,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_纯碱236#污水池清淤_260715_001.jpg,260715,1dfb41fa61cefffc89823efa48cc9201.jpg,256568,纯碱236#污水池清淤,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260711_001.jpg,260711,1e2698f6ff79c195bce1b3e427f33b57.jpg,532348,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260725_001.jpg,260725,1e4b0b13a8ea0dd274eb1c7f38343bd3.jpg,629416,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260628_001.jpg,260628,1ef097f2ffb78f86f23b17706a642a80.jpg,452156,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260803_005.jpg,260803,1f80d9326452cd496c539904195a5cab.jpg,537924,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260629_002.jpg,260629,1fbc69d5904800d98f6d13ddc35b4aa1.jpg,469031,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260703_003.jpg,260703,2014601284ef8475d8d49f63f478b7e8.jpg,324934,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260703_004.jpg,260703,2022828cba2f96f1ba8434eb2368768f.jpg,285142,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
